method,cluster_std,n_clusters,ari_mean,ari_std,nmi_mean,nmi_std,sse_mean,sse_std,steps_mean,steps_std,collapsed_rate
baseline,0.3,3,0.8380117306753959,0.11750443373332466,0.8855091247050395,0.0745858904138092,323.1792889036984,756.3612660214482,5.266666666666667,0.5832922809856749,0.0
baseline,0.3,4,0.8004021139616226,0.2151036979603917,0.8903165191578027,0.12329487103752783,1560.6943796549676,1847.0825689018243,4.466666666666667,1.332183412176477,0.0
baseline,0.3,5,0.6498608615601388,0.17803223713758143,0.8242680329209402,0.11498330291365569,3467.391795278032,2500.8834608061034,4.4,1.6733200530681511,0.0
baseline,0.6,3,0.852561829579035,0.08580639236691148,0.8940379280778136,0.054406374541958166,580.3830935129075,437.1920433718676,26.4,5.29541115592971,0.0
baseline,0.6,4,0.8254412135627166,0.21427286236374338,0.9035140096861423,0.12309951540186072,1925.7664264956989,1883.3207613355298,13.666666666666666,11.457066283132516,0.0
baseline,0.6,5,0.6968321367045055,0.16598400106570096,0.8529021695981929,0.10862159801121142,3589.5645389469355,2131.076367763532,9.266666666666667,9.655919511325445,0.0
baseline,0.9,3,0.8636644757274348,0.016282332466977304,0.8973977965444698,0.023014306144625737,1088.5518446508272,37.968849746389004,22.933333333333334,5.570447473719796,0.0
baseline,0.9,4,0.8443242046726276,0.21073686718745036,0.9091708561773261,0.1215594089042394,2526.1667197114207,1798.7693453190468,12.666666666666666,10.577573326205986,0.0
baseline,0.9,5,0.746390114176618,0.09917722764762041,0.8802745245772396,0.06198735910900378,4058.3068333362753,1382.7512619443528,8.133333333333333,7.52803190533994,0.0
inertia,0.3,3,0.8377280449966643,0.1183283967127326,0.8853547332794027,0.07505842744112287,323.17744150933856,756.362251954561,21.8,2.8695788469077983,0.0
inertia,0.3,4,0.8129049080904616,0.21555268960697793,0.8970045924807759,0.1237070045101101,1297.360531752191,1728.655547277598,24.1,3.594536083442816,0.0
inertia,0.3,5,0.6736563465377199,0.16987122817487965,0.8376039981569626,0.11213692120140137,3161.1303490615587,2169.0138750268575,24.333333333333332,3.5751376470567258,0.0
inertia,0.6,3,0.8680438645440341,0.0029039420687422034,0.9038866348100061,0.004466618474211888,501.9804270937755,15.719147449914422,24.9,3.3461248817307947,0.0
inertia,0.6,4,0.8256094086275814,0.21379084447582355,0.903659412218767,0.1226171372248062,1833.5373216330088,1823.7348352174479,25.533333333333335,3.8928168449730265,0.0
inertia,0.6,5,0.7088962398006934,0.1578335561681873,0.8597793227275828,0.10458878567642937,3470.97792120326,2062.909716471803,25.5,3.875208559459779,0.0
inertia,0.9,3,0.8636702032774454,0.016284416325630813,0.8974003938038136,0.02301523268023234,1088.3262014558777,37.651313769691335,24.866666666666667,2.7634727444278155,0.0
inertia,0.9,4,0.8566974149262474,0.20851882997000837,0.9158104403719514,0.12086580684023174,2401.073960383512,1729.3031826980298,25.9,4.079807297680479,0.0
inertia,0.9,5,0.7463511009745109,0.09935066045914201,0.8803950799836469,0.06237076305157107,3956.441461906999,1179.2385541773058,26.066666666666666,2.0667037445691365,0.0
inertia_repulsion,0.3,3,0.837903770209275,0.119760684076962,0.8854007441119306,0.07586341828656895,326.00169784353955,752.7578219258322,29.3,1.7645943169602116,0.0
