seed,n_clusters,points_per_cluster,dim,cluster_std,ari,nmi,sse,steps,converged,min_inter_token_dist,collapsed,n_tokens,n_steps,temperature,lr,momentum,repulsion,method
18,3,80,6,0.3,0.86969451649677,0.9054730036808499,136.31819314553144,5,True,0.0004899871669875205,0.0,4,30,1.0,1.0,0.0,0.0,baseline
19,3,80,6,0.3,0.4080415474642968,0.612535771529022,3577.998231268085,7,True,5.1320409073281295e-05,0.0,4,30,1.0,1.0,0.0,0.0,baseline
20,3,80,6,0.3,0.8683195592286501,0.9048504844691445,126.28963194731638,5,True,0.0005236862540971484,0.0,4,30,1.0,1.0,0.0,0.0,baseline
21,3,80,6,0.3,0.868405530011043,0.904889305927475,127.13981119832316,5,True,0.00029350390694571365,0.0,4,30,1.0,1.0,0.0,0.0,baseline
22,3,80,6,0.3,0.86909312366145,0.9052002896311647,133.68514614369337,5,True,0.00024582786883472823,0.0,4,30,1.0,1.0,0.0,0.0,baseline
23,3,80,6,0.3,0.8714114890144744,0.9062553169812129,125.47663860505867,5,True,0.0005976918808147597,0.0,4,30,1.0,1.0,0.0,0.0,baseline
24,3,80,6,0.3,0.86909312366145,0.9052002896311648,128.42839350441253,5,True,0.00040985862953737154,0.0,4,30,1.0,1.0,0.0,0.0,baseline
25,3,80,6,0.3,0.86969451649677,0.9054730036808499,135.06086858480091,6,True,0.00020346599761937196,0.0,4,30,1.0,1.0,0.0,0.0,baseline
26,3,80,6,0.3,0.86909312366145,0.9052002896311647,128.56620232213112,5,True,0.00031776145991583595,0.0,4,30,1.0,1.0,0.0,0.0,baseline
27,3,80,6,0.3,0.86909312366145,0.9052002896311648,129.15121238755648,6,True,0.00011421917213605812,0.0,4,30,1.0,1.0,0.0,0.0,baseline
28,3,80,6,0.3,0.8683195592286501,0.9048504844691445,127.95452545486668,5,True,0.00032244552468177126,0.0,4,30,1.0,1.0,0.0,0.0,baseline
29,3,80,6,0.3,0.8683195592286501,0.9048504844691445,128.1812505714771,6,True,0.00032794550779496694,0.0,4,30,1.0,1.0,0.0,0.0,baseline
0,3,80,6,0.3,0.868405530011043,0.904889305927475,123.11910641226524,26,True,7.875789019349617e-05,0.0,4,30,1.0,1.0,0.5,0.0,inertia
1,3,80,6,0.3,0.86909312366145,0.9052002896311651,124.25860918259404,24,True,6.858282306484465e-05,0.0,4,30,1.0,1.0,0.5,0.0,inertia
2,3,80,6,0.3,0.8683195592286501,0.9048504844691445,126.65114937861425,18,True,0.0007469857531680192,0.0,4,30,1.0,1.0,0.5,0.0,inertia
3,3,80,6,0.3,0.86909312366145,0.9052002896311648,130.4271629075156,21,True,0.0003283084759334089,0.0,4,30,1.0,1.0,0.5,0.0,inertia
4,3,80,6,0.3,0.868405530011043,0.904889305927475,121.30736072260888,20,True,0.000966194732078197,0.0,4,30,1.0,1.0,0.5,0.0,inertia
5,3,80,6,0.3,0.8683195592286501,0.9048504844691445,125.93438505134793,18,True,0.0010471991779289235,0.0,4,30,1.0,1.0,0.5,0.0,inertia
6,3,80,6,0.3,0.868405530011043,0.904889305927475,118.34913163310904,21,True,0.0004755017476660037,0.0,4,30,1.0,1.0,0.5,0.0,inertia
7,3,80,6,0.3,0.8683195592286501,0.9048504844691445,122.445478274463,20,True,0.000969197849261879,0.0,4,30,1.0,1.0,0.5,0.0,inertia
8,3,80,6,0.3,0.868405530011043,0.904889305927475,130.45010898953848,18,True,0.00039681220680048144,0.0,4,30,1.0,1.0,0.5,0.0,inertia
9,3,80,6,0.3,0.8683195592286501,0.9048504844691445,133.21157244478624,26,True,7.793315764246103e-05,0.0,4,30,1.0,1.0,0.5,0.0,inertia
10,3,80,6,0.3,0.8683195592286501,0.9048504844691445,117.79622076551672,24,True,0.00017938148125569518,0.0,4,30,1.0,1.0,0.5,0.0,inertia
11,3,80,6,0.3,0.8714114890144744,0.9062553169812129,131.7317082581376,18,True,0.0008698732237205896,0.0,4,30,1.0,1.0,0.5,0.0,inertia
12,3,80,6,0.3,0.8686634135860875,0.9050058388891631,129.63924436914277,24,True,0.00019247780115265662,0.0,4,30,1.0,1.0,0.5,0.0,inertia
13,3,80,6,0.3,0.868405530011043,0.904889305927475,122.08203102598765,21,True,0.0004992548011765384,0.0,4,30,1.0,1.0,0.5,0.0,inertia
14,3,80,6,0.3,0.86909312366145,0.9052002896311651,132.88625821331948,18,True,0.0008792113661247546,0.0,4,30,1.0,1.0,0.5,0.0,inertia
15,3,80,6,0.3,0.8683195592286501,0.9048504844691445,128.66158101645453,20,True,0.000639283076170341,0.0,4,30,1.0,1.0,0.5,0.0,inertia
16,3,80,6,0.3,0.868405530011043,0.904889305927475,129.5500612369628,24,True,0.00013772308907889492,0.0,4,30,1.0,1.0,0.5,0.0,inertia
17,3,80,6,0.3,0.4053310095992769,0.6110268798269557,2542.5758674141716,23,True,0.0001218898184070456,0.0,4,30,1.0,1.0,0.5,0.0,inertia
18,3,80,6,0.3,0.8686634135860875,0.9050058388891631,136.32364413286172,21,True,0.00039887424817967843,0.0,4,30,1.0,1.0,0.5,0.0,inertia
19,3,80,6,0.3,0.3995573220883919,0.6074547362987154,3577.9977983482854,26,True,9.563871882286272e-05,0.0,4,30,1.0,1.0,0.5,0.0,inertia
20,3,80,6,0.3,0.868405530011043,0.904889305927475,126.2954639833344,21,True,0.0003539213724905164,0.0,4,30,1.0,1.0,0.5,0.0,inertia
21,3,80,6,0.3,0.868405530011043,0.904889305927475,127.12173963028515,18,True,0.0012231438158954635,0.0,4,30,1.0,1.0,0.5,0.0,inertia
22,3,80,6,0.3,0.8683195592286501,0.9048504844691445,133.66641148170885,18,True,0.0012625868450148172,0.0,4,30,1.0,1.0,0.5,0.0,inertia
23,3,80,6,0.3,0.8686634135860875,0.9050058388891631,125.4777914564618,21,True,0.0005612692035899036,0.0,4,30,1.0,1.0,0.5,0.0,inertia
